제품명,모델명,색상,사이즈,냉방 면적,최소 냉방 능력,정격 냉방 능력,최대 냉방 능력,최소 냉방 소비전력,정격 냉방 소비전력,냉방 에너지 소비효율등급,전원,실내기 크기(가로 × 높이 × 깊이),배관 길이,색상,형태,디스플레이,오로라라이팅,메탈패널,아트패널,무풍냉방,무풍청정,무풍제습,강력 냉방,써큘레이터 급속 냉방,체온풍,체온풍 청정,공기청정 디스플레이,e-HEPA 살균 필터,PM 1.0 살균 필터,PM 1.0 센서,CAC 인증,대용량 강력 제습,강력 제습,제습량 센서,제습뷰 (제습량 표시),AI 절약 모드,1회 사용 전력량 표시,음성 제어(Bixby),음성 안내,AI 쾌적,웰컴 에어케어/웰컴 쿨링,부재 절전,AOD,무풍 열대야 쾌면,열대야 쾌면,스마트 인스톨,WiFi,SmartThings 앱,UV LED 팬살균,맞춤 건조/자동 건조,워시클린(열교환기 세척),AI 진단,이지오픈패널,이지오픈 팬,필터 안심 물세척,구리 항균 프리 필터,부재 건조,필터 청소 알림,저소음 모드/정음 모드,24시간 켜짐/꺼짐 예약,미세 냉방 (0.5도 온도 조절),제품명,제조자/수입자,제조국가,동일모델의 출시년월,A/S 책임자와 전화번호,품질보증기준,절전 모드,모션센서,본체 빅스비 (음성인식),리모콘,상하스윙,좌우스윙
BESPOKE AI 무풍 갤러리 56.9㎡ (스탠드형 리모컨 포함),AF17DX738BZT,스탠드 에센셜 샴페인 + 벽걸이 화이트.에센셜 그레이,,56.9 ㎡,2.25 kW,7.00 kW,9.30 kW,0.25 kW,1.90 kW,2 등급,단상. 220V. 60Hz,415 x 1830 x 286 mm,8.0 m,에센셜 샴페인,무풍,MONO LCD,있음,에센셜 샴페인,에센셜 샴페인,있음,없음,있음,있음,있음,없음,없음,없음,없음,없음,없음,없음,있음,없음,있음,있음,있음,있음,지원,지원,지원,웰컴 에어케어,지원,지원,지원,지원,지원,지원,지원,있음,맞춤 건조,있음,있음,있음,있음,있음,있음,있음,있음,저소음 모드,있음,있음,에어컨 / 냉방전용,삼성전자㈜,대한민국,2024년 3월,삼성전자서비스센터 / 1588-3366,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제16조)에 따라 보상가능,,,,,,
BESPOKE AI 무풍 갤러리 58.5㎡ (스탠드형 리모컨 포함),AF18DX839BZT,에센셜 샴페인,,58.5 ㎡,2.50 kW,7.20 kW,10.00 kW,0.28 kW,1.70 kW,1 등급,단상. 220V. 60Hz,415 x 1910 x 309 mm,8.0 m,에센셜 샴페인,무풍,MONO LCD,있음,에센셜 샴페인,에센셜 샴페인,있음,없음,있음,있음,있음,없음,없음,없음,없음,없음,없음,없음,있음,없음,있음,있음,있음,있음,지원,지원,지원,웰컴 에어케어,지원,지원,지원,지원,지원,지원,지원,있음,맞춤 건조,있음,있음,있음,있음,있음,있음,있음,있음,저소음 모드,있음,있음,에어컨 / 냉방전용,삼성전자㈜,대한민국,2024년 2월,삼성전자서비스센터 / 1588-3366,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제16조)에 따라 보상가능,,,,,,
BESPOKE AI 무풍 갤러리 62.6㎡ (스탠드형 리모컨 포함),AF19DX838GZT,에센셜 그레이,,62.6 ㎡,2.80 kW,7.70 kW,10.00 kW,0.32 kW,1.95 kW,2 등급,단상. 220V. 60Hz,415 x 1910 x 309 mm,8.0 m,에센셜 그레이,무풍,MONO LCD,있음,에센셜 그레이,에센셜 그레이,있음,없음,있음,있음,있음,없음,없음,없음,없음,없음,없음,없음,있음,없음,있음,있음,있음,있음,지원,지원,지원,웰컴 에어케어,지원,지원,지원,지원,지원,지원,지원,있음,맞춤 건조,있음,있음,있음,있음,있음,있음,있음,있음,저소음 모드,있음,있음,에어컨 / 냉방전용,삼성전자㈜,대한민국,2024년 3월,삼성전자서비스센터 / 1588-3366,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제16조)에 따라 보상가능,,,,,,
BESPOKE AI 무풍 갤러리 (65.9㎡ (스탠드형 리모컨 포함),AF20DX936WFT,스탠드 에센셜 샴페인 + 벽걸이 화이트,,65.9 ㎡,3.00 kW,8.10 kW,11.50 kW,0.33 kW,1.90 kW,1 등급,단상. 220V. 60Hz,492 x 1910 x 307 mm,8.0 m,에센셜 샴페인,무풍,MONO LCD,있음,에센셜 샴페인,에센셜 샴페인,있음,없음,있음,있음,있음,없음,없음,없음,없음,없음,없음,없음,있음,없음,있음,있음,있음,있음,지원,지원,지원,웰컴 에어케어,지원,지원,지원,지원,지원,지원,지원,있음,맞춤 건조,있음,있음,있음,있음,있음,있음,있음,있음,저소음 모드,있음,있음,에어컨 / 냉방전용,삼성전자㈜,대한민국,2024년 3월,삼성전자서비스센터 / 1588-3366,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제16조)에 따라 보상가능,,,,,,
BESPOKE AI 무풍 갤러리 청정 81.8㎡ (스탠드형 리모컨 포함),AF25CX934AAT,에센셜 화이트.스탠드 에센셜 베이지 + 벽걸이 화이트,,81.8 ㎡,3.00 kW,9.00 kW,11.80 kW,0.33 kW,2.30 kW,1 등급,단상. 220V. 60Hz,492 x 1910 x 307 mm,8.0 m,에센셜 베이지,무풍,MONO LCD,있음,에센셜 베이지,에센셜 베이지,있음,있음,있음,있음,있음,없음,없음,있음,없음,있음,있음,있음,있음,없음,있음,있음,있음,있음,지원,지원,지원,웰컴 에어케어,지원,지원,지원,지원,지원,지원,지원,있음,맞춤 건조,있음,있음,있음,있음,있음,있음,있음,있음,저소음 모드,있음,있음,에어컨 / 냉방전용,삼성전자㈜,대한민국,2024년 3월,삼성전자서비스센터 / 1588-3366,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제16조)에 따라 보상가능,,,,,,
무풍에어컨 벽걸이 슬림 24.4㎡,AR07D9150HZT,화이트,,24.4 ㎡,1.10 kW,2.80 kW,3.70 kW,0.20 kW,0.78 kW,2 등급,단상. 220V. 60Hz,682*299*215 mm,5 m,화이트,무풍,88 Seg,,,,있음,,있음,있음,,,,,,,,,,있음,,,있음,,,,지원,웰컴 쿨링,,,지원,지원,지원,지원,지원,,자동 건조,있음,있음,,,있음,있음,,있음,정음 모드,있음,,에어컨 / 냉방전용,삼성전자㈜,태국,2024년 2월,삼성전자서비스센터 / 1588-3366,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제16조)에 따라 보상가능,있음,미지원,없음,있음,있음,있음
무풍에어컨 벽걸이 와이드 29.3㎡,AR09D9150HZT,화이트,,29.3 ㎡,1.00 kW,3.60 kW,4.20 kW,0.20 kW,0.88 kW,1 등급,단상. 220V. 60Hz,889*299*215 mm,5 m,화이트,무풍,88 Seg,,,,있음,,있음,있음,,,,,,,,,,있음,,,있음,,,,지원,웰컴 쿨링,,,지원,지원,지원,지원,지원,,자동 건조,있음,있음,,,있음,있음,,있음,정음 모드,있음,,에어컨 / 냉방전용,삼성전자㈜,태국,2024년 2월,삼성전자서비스센터 / 1588-3366,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제16조)에 따라 보상가능,있음,미지원,없음,있음,있음,있음
무풍에어컨 벽걸이 와이드 34.1㎡,AR11D9150HZT,화이트,,34.1 ㎡,1.60 kW,4.20 kW,6.20 kW,0.30 kW,0.95 kW,1 등급,단상. 220V. 60Hz,1055*299*215 mm,5 m,화이트,무풍,88 Seg,,,,있음,,있음,있음,,,,,,,,,,있음,,,있음,,,,지원,웰컴 쿨링,,,지원,지원,지원,지원,지원,,자동 건조,있음,있음,,,있음,있음,,있음,정음 모드,있음,,에어컨 / 냉방전용,삼성전자㈜,태국,2024년 2월,삼성전자서비스센터 / 1588-3366,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제16조)에 따라 보상가능,있음,미지원,없음,있음,있음,있음
무풍에어컨 벽걸이 와이드 42.3㎡,AR13D9150HZT,화이트,,42.3 ㎡,1.60 kW,5.20 kW,6.50 kW,0.30 kW,1.35 kW,2 등급,단상. 220V. 60Hz,1055*299*215 mm,5 m,화이트,무풍,88 Seg,,,,있음,,있음,있음,,,,,,,,,,있음,,,있음,,,,지원,웰컴 쿨링,,,지원,지원,지원,지원,지원,,자동 건조,있음,있음,,,있음,있음,,있음,정음 모드,있음,,에어컨 / 냉방전용,삼성전자㈜,태국,2024년 2월,삼성전자서비스센터 / 1588-3366,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제16조)에 따라 보상가능,있음,미지원,없음,있음,있음,있음
무풍에어컨 벽걸이 와이드 48.8㎡,AR15D9150HZT,화이트,,48.8 ㎡,1.50 kW,6.00 kW,7.30 kW,0.33 kW,1.75 kW,3 등급,단상. 220V. 60Hz,1055*299*215 mm,5 m,화이트,무풍,88 Seg,,,,있음,,있음,있음,,,,,,,,,,있음,,,있음,,,,지원,웰컴 쿨링,,,지원,지원,지원,지원,지원,,자동 건조,있음,있음,,,있음,있음,,있음,정음 모드,있음,,에어컨 / 냉방전용,삼성전자㈜,태국,2024년 2월,삼성전자서비스센터 / 1588-3366,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제16조)에 따라 보상가능,있음,미지원,없음,있음,있음,있음
